 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999939e+00  5.03393660e-03  2.48494660e-07  2.48494675e-07  1.48725912e+00  9.00900164e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999940e+00  5.03395763e-03  2.53300529e-07  2.53273270e-07  1.48726353e+00  9.00904572e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999940e+00  5.03397766e-03  2.53781570e-07  2.53716479e-07  1.48726793e+00  9.00908977e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999940e+00  5.03401632e-03  2.54037237e-07  2.53895286e-07  1.48727673e+00  9.00917786e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999940e+00  5.03408871e-03  2.54162399e-07  2.53911306e-07  1.48729433e+00  9.00935405e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999940e+00  5.03423276e-03  2.54307370e-07  2.53962414e-07  1.48732954e+00  9.00970653e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999940e+00  5.03452428e-03  2.54270485e-07  2.53877353e-07  1.48739976e+00  9.01041128e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  1.80002597e+00  1.80000486e+00  5.60127762e-03  1.08951739e-05  7.39879526e-06  1.74739009e+00  8.80164376e-01 
 9.44866884e-08  0.00000000e+00  1.70076039e+00  0.00000000e+00  0.00000000e+00  1.79993669e+00  1.79999378e+00  5.66742045e-03 -2.07499259e-05 -2.05469834e-05  1.83293510e+00  5.37566302e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995249e+00  1.79999927e+00  5.67091225e-03  1.89901486e-06  3.67872566e-07  1.80188180e+00  4.93318872e-01 
 1.02025174e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995866e+00  1.80000146e+00  5.66921213e-03  9.54328338e-07 -1.46989289e-07  1.80113955e+00  4.97373807e-01 
 1.06075523e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79997136e+00  1.80000189e+00  5.66460935e-03  3.92104433e-08 -8.94657716e-07  1.80024065e+00  5.00562492e-01 
 1.14176220e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79998927e+00  1.79999913e+00  5.65053798e-03  3.61489862e-07  8.18978564e-08  1.79996822e+00  4.99713804e-01 
 1.30377614e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000162e+00  1.79999935e+00  5.64984555e-03  1.01566828e-07  2.50832582e-07  1.80001365e+00  5.00206631e-01 
 1.60870342e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999765e+00  1.79999949e+00  5.65170289e-03  3.47339510e-07  3.54053337e-07  1.79999041e+00  4.99826485e-01 
 2.21855798e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000207e+00  1.79999924e+00  5.64932292e-03  1.51499333e-07  2.88975629e-07  1.80000720e+00  5.00159488e-01 
 3.43826710e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999789e+00  1.79999952e+00  5.65186030e-03  3.31010871e-07  3.18187854e-07  1.79999285e+00  4.99846048e-01 
 4.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000185e+00  1.79999922e+00  5.64927573e-03  1.66645815e-07  2.68545734e-07  1.80000512e+00  5.00139019e-01 
 4.10000000e-07  0.00000000e+00  1.62000000e+00  0.00000000e+00  0.00000000e+00  1.80000010e+00  1.79999938e+00  5.65056766e-03  2.31618988e-07  2.82082749e-07  1.79999051e+00  5.00001511e-01 
 4.30000000e-07  0.00000000e+00  1.26000000e+00  0.00000000e+00  0.00000000e+00  1.79999980e+00  1.79999939e+00  5.65066590e-03  2.40477559e-07  2.76927085e-07  1.79998376e+00  4.99795097e-01 
 4.70000000e-07  0.00000000e+00  5.40000000e-01  0.00000000e+00  0.00000000e+00  1.79999999e+00  1.79999936e+00  5.65145403e-03  2.67017299e-07  3.06455331e-07  1.80072833e+00  4.99770331e-01 
 5.00000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999989e+00  1.79999939e+00  5.65140322e-03  2.09484729e-07  2.43250454e-07  1.80059352e+00  4.99641450e-01 
 5.04238897e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999990e+00  1.79999938e+00  5.65135719e-03  2.42756119e-07  2.76510690e-07  1.80059291e+00  4.99641779e-01 
 5.12716691e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999993e+00  1.79999938e+00  5.65134637e-03  2.43772609e-07  2.77525505e-07  1.80059197e+00  4.99642655e-01 
 5.29672278e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999994e+00  1.79999938e+00  5.65134986e-03  2.43145836e-07  2.75848270e-07  1.80059009e+00  4.99644388e-01 
 5.63583454e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999937e+00  5.65133271e-03  2.44665142e-07  2.75512153e-07  1.80058633e+00  4.99647856e-01 
 6.31405804e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65134136e-03  2.43287600e-07  2.69381543e-07  1.80057882e+00  4.99654791e-01 
 7.67050506e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999937e+00  5.65131301e-03  2.44841007e-07  2.64131725e-07  1.80056378e+00  4.99668655e-01 
 1.03833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65129408e-03  2.43593483e-07  2.53987385e-07  1.80053372e+00  4.99696365e-01 
 1.53833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999937e+00  5.65120840e-03  2.45355335e-07  2.49323787e-07  1.80047834e+00  4.99747368e-01 
 2.00000000e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65115245e-03  2.44146793e-07  2.46512810e-07  1.80042723e+00  4.99794383e-01 
 2.00010000e-06  1.80000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999937e+00  5.65118773e-03  3.86234754e-07  3.86596669e-07  1.80047169e+00  4.99838866e-01 
 2.00030000e-06  5.40000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000001e+00  1.79999936e+00  5.65133112e-03  5.17320546e-07  5.07225057e-07  1.80056015e+00  4.99927529e-01 
 2.00070000e-06  1.26000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79998485e+00  1.80000338e+00  5.60044334e-03 -2.43418835e-05  2.29891258e-05  1.76789665e+00  5.31805979e-01 
 2.00100000e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79994726e+00  1.80001144e+00  5.43714219e-03 -5.19876442e-05  5.54773435e-05  1.70347705e+00  5.96856009e-01 
 2.00104475e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79993918e+00  1.80001281e+00  5.39870060e-03 -5.41299387e-05  5.73630525e-05  1.69195289e+00  6.08407844e-01 
 2.00113426e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79992300e+00  1.80001509e+00  5.32612731e-03 -5.63743113e-05  5.94967047e-05  1.66977279e+00  6.30619540e-01 
 2.00131327e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79989233e+00  1.80001458e+00  5.22366108e-03 -5.50707864e-05  5.86670245e-05  1.63015666e+00  6.70285681e-01 
 2.00167129e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79984114e+00  1.80001055e+00  5.12515201e-03 -4.99202072e-05  5.03910908e-05  1.56586937e+00  7.34652005e-01 
