 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.77149276e+00  7.17921117e-01  6.88125591e-01  2.48494660e-07  2.48494675e-07  1.48732456e+00  9.00900491e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.77149272e+00  7.17921111e-01  6.88125681e-01  2.53298998e-07  2.53266952e-07  1.48732896e+00  9.00904899e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.77149265e+00  7.17921077e-01  6.88125828e-01  2.53779776e-07  2.53714900e-07  1.48733336e+00  9.00909304e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.77149242e+00  7.17920911e-01  6.88126266e-01  2.54035331e-07  2.53904144e-07  1.48734217e+00  9.00918113e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.77149077e+00  7.17918832e-01  6.88129399e-01  2.54157311e-07  2.53962137e-07  1.48735977e+00  9.00935732e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.77151044e+00  7.17948395e-01  6.88092243e-01  2.54305761e-07  2.53502575e-07  1.48739498e+00  9.00970980e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.77145266e+00  7.17864903e-01  6.88201665e-01  2.54252845e-07  2.54918712e-07  1.48746520e+00  9.01041455e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  1.77203597e+00  7.23345671e-01  6.87229757e-01  1.08686126e-05  7.40696029e-06  1.74740187e+00  8.80164618e-01 
 9.42188583e-08  0.00000000e+00  1.69593945e+00  0.00000000e+00  0.00000000e+00  1.77043630e+00  7.22961024e-01  6.89796099e-01 -2.10691635e-05 -2.07838454e-05  1.83280138e+00  5.38398993e-01 
 9.49415010e-08  0.00000000e+00  1.70894702e+00  0.00000000e+00  0.00000000e+00  1.77025623e+00  7.22629514e-01  6.90150022e-01 -1.67230580e-05 -1.69935379e-05  1.82659112e+00  5.26947293e-01 
 9.63867864e-08  0.00000000e+00  1.73496216e+00  0.00000000e+00  0.00000000e+00  1.76973809e+00  7.21816251e-01  6.91103243e-01 -9.14356335e-06 -9.71243284e-06  1.81652984e+00  5.10560485e-01 
 9.92773573e-08  0.00000000e+00  1.78699243e+00  0.00000000e+00  0.00000000e+00  1.76703490e+00  7.18174381e-01  6.95783704e-01 -2.00366609e-06 -2.96748747e-06  1.80602960e+00  5.00343296e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.76584013e+00  7.16642408e-01  6.97756608e-01 -1.49779592e-06 -2.59044865e-06  1.80477622e+00  5.00205418e-01 
 1.00578114e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.76446037e+00  7.14911876e-01  6.99922606e-01 -1.18360803e-06 -2.21569488e-06  1.80402718e+00  5.00143079e-01 
 1.01734343e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.76086653e+00  7.10549980e-01  7.05247421e-01 -7.08947899e-07 -1.58516877e-06  1.80276418e+00  5.00056347e-01 
 1.04046799e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.74387404e+00  6.92244815e-01  7.25200107e-01 -4.99212773e-07 -4.97228251e-07  1.80126572e+00  5.00004261e-01 
 1.08671713e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.31266269e+00  5.18928601e-01  8.22834256e-01 -3.97195739e-06  7.18170964e-06  1.80018641e+00  4.99999270e-01 
 1.14424570e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  7.42160728e-03  5.86304175e-02  1.24364053e+00 -2.12448489e-05  8.96938876e-06  1.80000716e+00  5.00000510e-01 
 1.17736732e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00 -4.45533937e-03 -1.05460010e-02  1.66818707e+00  8.55894045e-06 -1.76513662e-05  1.80000142e+00  5.00000086e-01 
 1.20965936e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  4.31728496e-03  1.76309466e-02  1.78857330e+00 -2.86884947e-06  1.23309245e-05  1.80000039e+00  5.00000134e-01 
 1.23012846e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00 -4.16016141e-03  2.76714154e-04  1.76945386e+00  2.21517539e-06 -1.03277860e-05  1.80000066e+00  5.00000129e-01 
 1.25151576e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  4.03638473e-03  9.07287722e-03  1.78429364e+00 -1.39468251e-07  6.11768369e-06  1.80000034e+00  5.00000137e-01 
 1.27318736e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00 -3.87486018e-03  3.81063656e-03  1.78321176e+00  4.17063960e-07 -4.97039204e-06  1.79999938e+00  5.00000127e-01 
 1.29661877e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.77230338e-03  6.70623803e-03  1.78794125e+00  4.64344825e-07  3.31825374e-06  1.79999953e+00  5.00000132e-01 
