 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15767573e-03  2.48494660e-07  2.48494675e-07  1.48726499e+00  9.00900171e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15768759e-03  2.53300294e-07  2.53276695e-07  1.48726940e+00  9.00904579e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15769744e-03  2.53781352e-07  2.53718721e-07  1.48727380e+00  9.00908983e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15771444e-03  2.54038206e-07  2.53896830e-07  1.48728260e+00  9.00917792e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15774237e-03  2.54163370e-07  2.53912248e-07  1.48730020e+00  9.00935412e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15779786e-03  2.54306842e-07  2.53962277e-07  1.48733541e+00  9.00970659e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15791255e-03  2.54271547e-07  2.53877976e-07  1.48740563e+00  9.01041135e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  1.80002596e+00  1.79999931e+00  5.60254861e-03  1.08953075e-05  7.39881419e-06  1.74739157e+00  8.80164379e-01 
 9.44866865e-08  0.00000000e+00  1.70076036e+00  0.00000000e+00  0.00000000e+00  1.79993670e+00  1.79999894e+00  5.66638713e-03 -2.07505223e-05 -2.05473188e-05  1.83293421e+00  5.37566309e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995247e+00  1.79999607e+00  5.67187470e-03  1.89921524e-06  3.67938044e-07  1.80188175e+00  4.93318868e-01 
 1.02025175e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995866e+00  1.80000056e+00  5.66930039e-03  9.54489396e-07 -1.46896176e-07  1.80113951e+00  4.97373806e-01 
 1.06075524e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79997136e+00  1.80000247e+00  5.66462435e-03  3.93139691e-08 -8.94589744e-07  1.80024064e+00  5.00562492e-01 
 1.14176223e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79998927e+00  1.79999868e+00  5.65063462e-03  3.61460180e-07  8.18753668e-08  1.79996823e+00  4.99713804e-01 
 1.30377621e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000162e+00  1.79999975e+00  5.64985149e-03  1.01576897e-07  2.50858039e-07  1.80001365e+00  5.00206632e-01 
 1.60870347e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999765e+00  1.79999912e+00  5.65180010e-03  3.47338023e-07  3.54048181e-07  1.79999041e+00  4.99826485e-01 
 2.21855799e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000207e+00  1.79999960e+00  5.64932945e-03  1.51499052e-07  2.88985753e-07  1.80000720e+00  5.00159489e-01 
 3.43826703e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999789e+00  1.79999917e+00  5.65195719e-03  3.31013388e-07  3.18186393e-07  1.79999285e+00  4.99846048e-01 
 4.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000185e+00  1.79999956e+00  5.64928249e-03  1.66640682e-07  2.68548515e-07  1.80000512e+00  5.00139019e-01 
 4.10000000e-07  0.00000000e+00  1.62000000e+00  0.00000000e+00  0.00000000e+00  1.80000010e+00  1.79999940e+00  5.65061882e-03  2.31622002e-07  2.82088939e-07  1.79999051e+00  5.00001511e-01 
 4.30000000e-07  0.00000000e+00  1.26000000e+00  0.00000000e+00  0.00000000e+00  1.79999980e+00  1.79999938e+00  5.65071833e-03  2.40476173e-07  2.76927277e-07  1.79998376e+00  4.99795097e-01 
 4.70000000e-07  0.00000000e+00  5.40000000e-01  0.00000000e+00  0.00000000e+00  1.79999999e+00  1.79999938e+00  5.65150377e-03  2.67018690e-07  3.06459263e-07  1.80072833e+00  4.99770331e-01 
 5.00000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999989e+00  1.79999938e+00  5.65145564e-03  2.09484605e-07  2.43251862e-07  1.80059351e+00  4.99641450e-01 
 5.04238897e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999990e+00  1.79999938e+00  5.65140830e-03  2.42755906e-07  2.76512154e-07  1.80059291e+00  4.99641779e-01 
 5.12716691e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999993e+00  1.79999938e+00  5.65139732e-03  2.43772885e-07  2.77527808e-07  1.80059197e+00  4.99642655e-01 
 5.29672278e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999994e+00  1.79999938e+00  5.65140103e-03  2.43146292e-07  2.75850270e-07  1.80059009e+00  4.99644388e-01 
 5.63583454e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999938e+00  5.65138364e-03  2.44665277e-07  2.75514020e-07  1.80058633e+00  4.99647856e-01 
 6.31405804e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65139252e-03  2.43288425e-07  2.69383501e-07  1.80057881e+00  4.99654791e-01 
 7.67050506e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999938e+00  5.65136402e-03  2.44841263e-07  2.64132918e-07  1.80056378e+00  4.99668655e-01 
 1.03833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65134529e-03  2.43593849e-07  2.53988227e-07  1.80053372e+00  4.99696365e-01 
 1.53833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999938e+00  5.65125948e-03  2.45355028e-07  2.49323796e-07  1.80047833e+00  4.99747368e-01 
 2.00000000e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65120379e-03  2.44146860e-07  2.46512887e-07  1.80042723e+00  4.99794383e-01 
 2.00010000e-06  1.80000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999937e+00  5.65123798e-03  3.86234973e-07  3.86596790e-07  1.80047168e+00  4.99838865e-01 
 2.00030000e-06  5.40000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000001e+00  1.79999936e+00  5.65137840e-03  5.17320891e-07  5.07225237e-07  1.80056014e+00  4.99927528e-01 
 2.00070000e-06  1.26000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79998485e+00  1.80000210e+00  5.60148116e-03 -2.43419869e-05  2.29890460e-05  1.76789661e+00  5.31805976e-01 
 2.00100000e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79994728e+00  1.80000760e+00  5.44107016e-03 -5.19879454e-05  5.54769330e-05  1.70347691e+00  5.96855999e-01 
 2.00104475e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79993920e+00  1.80000858e+00  5.40333408e-03 -5.41302691e-05  5.73625474e-05  1.69195273e+00  6.08407831e-01 
 2.00113426e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79992303e+00  1.80001036e+00  5.33228605e-03 -5.63746934e-05  5.94959779e-05  1.66977259e+00  6.30619523e-01 
