 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15774452e-03  2.48494660e-07  2.48494675e-07  1.48730942e+00  9.00900385e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15775640e-03  2.53301219e-07  2.53254942e-07  1.48731383e+00  9.00904792e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15776626e-03  2.53783197e-07  2.53703876e-07  1.48731823e+00  9.00909197e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15778327e-03  2.54041019e-07  2.53893632e-07  1.48732703e+00  9.00918006e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15781120e-03  2.54165219e-07  2.53913097e-07  1.48734463e+00  9.00935625e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15786657e-03  2.54306001e-07  2.53961574e-07  1.48737984e+00  9.00970873e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15798131e-03  2.54271014e-07  2.53878481e-07  1.48745006e+00  9.01041348e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  1.80002594e+00  1.79999930e+00  5.60260895e-03  1.08928047e-05  7.39817871e-06  1.74739925e+00  8.80164537e-01 
 9.44866872e-08  0.00000000e+00  1.70076037e+00  0.00000000e+00  0.00000000e+00  1.79993671e+00  1.79999895e+00  5.66634649e-03 -2.07487924e-05 -2.05468211e-05  1.83292965e+00  5.37566318e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995247e+00  1.79999606e+00  5.67189605e-03  1.89883957e-06  3.67562691e-07  1.80188150e+00  4.93318867e-01 
 1.02025174e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995866e+00  1.80000056e+00  5.66929829e-03  9.54582241e-07 -1.47167692e-07  1.80113937e+00  4.97373805e-01 
 1.06075522e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79997136e+00  1.80000246e+00  5.66461914e-03  3.93707930e-08 -8.94631646e-07  1.80024061e+00  5.00562492e-01 
 1.14176218e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79998927e+00  1.79999868e+00  5.65063718e-03  3.61426197e-07  8.18992974e-08  1.79996823e+00  4.99713804e-01 
 1.30377609e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000163e+00  1.79999974e+00  5.64984711e-03  1.01601672e-07  2.50853200e-07  1.80001365e+00  5.00206631e-01 
