 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999955e+00  3.29135904e-03  2.48494660e-07  2.48494675e-07  1.48728787e+00  9.00900308e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999955e+00  3.29137543e-03  2.53296092e-07  2.53272224e-07  1.48729228e+00  9.00904716e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999956e+00  3.29139555e-03  2.53772946e-07  2.53712768e-07  1.48729668e+00  9.00909121e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999956e+00  3.29143629e-03  2.54025007e-07  2.53889921e-07  1.48730547e+00  9.00917930e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999956e+00  3.29151591e-03  2.54154143e-07  2.53910389e-07  1.48732307e+00  9.00935549e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999956e+00  3.29167476e-03  2.54304849e-07  2.53964254e-07  1.48735827e+00  9.00970797e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999956e+00  3.29199475e-03  2.54267799e-07  2.53877855e-07  1.48742846e+00  9.01041272e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  1.80002603e+00  1.80006987e+00  5.42039066e-03  1.08843718e-05  7.39339932e-06  1.74738415e+00  8.80164517e-01 
 9.44866878e-08  0.00000000e+00  1.70076038e+00  0.00000000e+00  0.00000000e+00  1.79993672e+00  1.79993550e+00  5.67005523e-03 -2.07301990e-05 -2.05352646e-05  1.83293809e+00  5.37566309e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995260e+00  1.80003421e+00  5.59663175e-03  1.89141905e-06  3.63435084e-07  1.80188256e+00  4.93318869e-01 
 1.02025174e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995866e+00  1.80000896e+00  5.61563734e-03  9.49220061e-07 -1.51211157e-07  1.80113986e+00  4.97373806e-01 
 1.06075522e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79997134e+00  1.79999668e+00  5.61376204e-03  3.77797928e-08 -8.95329354e-07  1.80024072e+00  5.00562492e-01 
 1.14176218e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79998929e+00  1.80000326e+00  5.59659161e-03  3.62033283e-07  8.22880616e-08  1.79996822e+00  4.99713804e-01 
 1.30377611e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000159e+00  1.79999569e+00  5.59901295e-03  1.01233811e-07  2.50197217e-07  1.80001365e+00  5.00206631e-01 
 1.60870330e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999768e+00  1.80000294e+00  5.59779990e-03  3.47568696e-07  3.54445924e-07  1.79999042e+00  4.99826485e-01 
 2.21855770e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000204e+00  1.79999590e+00  5.59846271e-03  1.51313610e-07  2.88562307e-07  1.80000720e+00  5.00159489e-01 
 3.43826649e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999792e+00  1.80000284e+00  5.59797353e-03  3.31184405e-07  3.18526451e-07  1.79999286e+00  4.99846048e-01 
 4.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000182e+00  1.79999604e+00  5.59839472e-03  1.66512647e-07  2.68213220e-07  1.80000511e+00  5.00139019e-01 
 4.10000000e-07  0.00000000e+00  1.62000000e+00  0.00000000e+00  0.00000000e+00  1.80000009e+00  1.79999924e+00  5.59820339e-03  2.31583606e-07  2.82012622e-07  1.79999051e+00  5.00001511e-01 
 4.30000000e-07  0.00000000e+00  1.26000000e+00  0.00000000e+00  0.00000000e+00  1.79999980e+00  1.79999953e+00  5.59824961e-03  2.40505686e-07  2.76947188e-07  1.79998376e+00  4.99795097e-01 
 4.70000000e-07  0.00000000e+00  5.40000000e-01  0.00000000e+00  0.00000000e+00  1.79999999e+00  1.79999926e+00  5.59977733e-03  2.66998537e-07  3.06409444e-07  1.80072832e+00  4.99770331e-01 
 5.00000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999989e+00  1.79999949e+00  5.59956733e-03  2.09502927e-07  2.43259805e-07  1.80059351e+00  4.99641450e-01 
 5.04238897e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999990e+00  1.79999939e+00  5.59953753e-03  2.42766400e-07  2.76506735e-07  1.80059290e+00  4.99641779e-01 
 5.12716691e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999993e+00  1.79999938e+00  5.59952635e-03  2.43771678e-07  2.77507447e-07  1.80059196e+00  4.99642655e-01 
 5.29672279e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999994e+00  1.79999939e+00  5.59952609e-03  2.43149388e-07  2.75837008e-07  1.80059008e+00  4.99644388e-01 
 5.63583454e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999938e+00  5.59950762e-03  2.44667032e-07  2.75499745e-07  1.80058632e+00  4.99647856e-01 
