 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.86709997e-07  3.15349529e-03  1.79999934e+00  2.48494675e-07  2.48494660e-07  1.47550603e+00  9.00863431e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.87035356e-07  3.15349679e-03  1.79999934e+00  2.53277374e-07  2.53333260e-07  1.47551044e+00  9.00867839e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.87328163e-07  3.15349804e-03  1.79999934e+00  2.53730110e-07  2.53811467e-07  1.47551484e+00  9.00872244e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.87727354e-07  3.15349953e-03  1.79999934e+00  2.53932397e-07  2.54025460e-07  1.47552364e+00  9.00881053e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.87933401e-07  3.15349934e-03  1.79999934e+00  2.53979748e-07  2.54044731e-07  1.47554125e+00  9.00898672e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.88008959e-07  3.15349831e-03  1.79999934e+00  2.54056715e-07  2.54113213e-07  1.47557645e+00  9.00933920e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.88020839e-07  3.15349867e-03  1.79999934e+00  2.53998939e-07  2.54048728e-07  1.47564668e+00  9.01004395e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  8.79701747e-06  3.16328692e-03  1.79999015e+00  1.10651213e-05  5.25817287e-06  1.74535607e+00  8.80137189e-01 
 9.44868728e-08  0.00000000e+00  1.70076371e+00  0.00000000e+00  0.00000000e+00 -3.34057150e-07  3.14410769e-03  1.80000617e+00 -1.50870294e-05 -1.67689353e-05  1.83414199e+00  5.37563728e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00 -4.98726858e-06  3.15475212e-03  1.79999419e+00  1.37666268e-06  3.46106060e-06  1.80194681e+00  4.93319554e-01 
 1.02025227e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00 -5.41350644e-06  3.15760563e-03  1.79999989e+00  5.70230254e-07  2.26676522e-06  1.80117891e+00  4.97374117e-01 
 1.06075680e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00 -4.55591847e-06  3.15799844e-03  1.80000039e+00 -8.01622998e-07  4.98295178e-07  1.80024890e+00  5.00562458e-01 
 1.14176588e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00 -6.23979703e-07  3.15363003e-03  1.79999946e+00  1.59010741e-07  5.54817905e-07  1.79996704e+00  4.99713814e-01 
 1.30378402e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  4.85015530e-07  3.15296122e-03  1.79999929e+00  4.02884974e-07  2.40085421e-07  1.80001416e+00  5.00206625e-01 
 1.60872727e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.62627057e-07  3.15373755e-03  1.79999944e+00  3.98352589e-07  3.88813749e-07  1.79999003e+00  4.99826489e-01 
 2.21861376e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  4.87574637e-07  3.15301297e-03  1.79999932e+00  3.84328301e-07  2.13353521e-07  1.80000747e+00  5.00159485e-01 
 3.43838675e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  2.45561867e-07  3.15379607e-03  1.79999942e+00  3.14328611e-07  3.29887532e-07  1.79999257e+00  4.99846051e-01 
 4.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  3.75226164e-07  3.15310039e-03  1.79999935e+00  3.36514114e-07  2.10698571e-07  1.80000531e+00  5.00139014e-01 
 4.10000000e-07  0.00000000e+00  1.62000000e+00  0.00000000e+00  0.00000000e+00  3.27173553e-07  3.15338561e-03  1.79999934e+00  3.13146943e-07  2.51163126e-07  1.79999054e+00  5.00001510e-01 
 4.30000000e-07  0.00000000e+00  1.26000000e+00  0.00000000e+00  0.00000000e+00  2.75288298e-07  3.15350644e-03  1.79999940e+00  3.05148610e-07  2.59719349e-07  1.79998372e+00  4.99795100e-01 
 4.70000000e-07  0.00000000e+00  5.40000000e-01  0.00000000e+00  0.00000000e+00  2.99132934e-07  3.15341657e-03  1.79999933e+00  3.32695621e-07  2.85269791e-07  1.80072834e+00  4.99770333e-01 
 5.00000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.66005492e-07  3.15347454e-03  1.79999941e+00  2.65736744e-07  2.26140417e-07  1.80059334e+00  4.99641452e-01 
 5.04238897e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.72386985e-07  3.15346243e-03  1.79999938e+00  2.99555170e-07  2.59616811e-07  1.80059271e+00  4.99641781e-01 
 5.12716690e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.74428143e-07  3.15345298e-03  1.79999937e+00  3.00271067e-07  2.60503481e-07  1.80059172e+00  4.99642657e-01 
 5.29672276e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.71536092e-07  3.15345582e-03  1.79999938e+00  2.97562868e-07  2.59366638e-07  1.80058974e+00  4.99644390e-01 
 5.63583448e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.68640137e-07  3.15345496e-03  1.79999937e+00  2.95659678e-07  2.60122679e-07  1.80058579e+00  4.99647858e-01 
 6.31405792e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.53281246e-07  3.15346407e-03  1.79999938e+00  2.86617931e-07  2.57318494e-07  1.80057788e+00  4.99654793e-01 
 7.67050481e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.36099815e-07  3.15346939e-03  1.79999937e+00  2.77229532e-07  2.56934894e-07  1.80056208e+00  4.99668657e-01 
 1.03833986e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  2.09851350e-07  3.15348311e-03  1.79999938e+00  2.61793303e-07  2.53221137e-07  1.80053058e+00  4.99696364e-01 
