 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15494822e-03  2.48494660e-07  2.48494675e-07  1.48724435e+00  9.00900335e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15496045e-03  2.53300119e-07  2.53276296e-07  1.48724876e+00  9.00904743e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15497063e-03  2.53781038e-07  2.53718477e-07  1.48725316e+00  9.00909147e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15498823e-03  2.54037694e-07  2.53896614e-07  1.48726196e+00  9.00917956e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15501736e-03  2.54163199e-07  2.53912480e-07  1.48727956e+00  9.00935576e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15507545e-03  2.54307443e-07  2.53962912e-07  1.48731477e+00  9.00970823e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15519504e-03  2.54271078e-07  2.53877589e-07  1.48738499e+00  9.01041299e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  1.80002596e+00  1.79999942e+00  5.60286381e-03  1.08961177e-05  7.39932621e-06  1.74738799e+00  8.80164501e-01 
 9.44866958e-08  0.00000000e+00  1.70076052e+00  0.00000000e+00  0.00000000e+00  1.79993670e+00  1.79999886e+00  5.66612961e-03 -2.07510563e-05 -2.05476621e-05  1.83293635e+00  5.37566289e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995247e+00  1.79999604e+00  5.67207779e-03  1.89920441e-06  3.67897371e-07  1.80188188e+00  4.93318886e-01 
 1.02025172e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995866e+00  1.80000060e+00  5.66933487e-03  9.54457981e-07 -1.46894019e-07  1.80113960e+00  4.97373811e-01 
 1.06075515e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79997136e+00  1.80000244e+00  5.66461861e-03  3.93090795e-08 -8.94592116e-07  1.80024066e+00  5.00562489e-01 
 1.14176202e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79998927e+00  1.79999870e+00  5.65066499e-03  3.61463037e-07  8.18601762e-08  1.79996822e+00  4.99713805e-01 
 1.30377576e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000162e+00  1.79999973e+00  5.64984801e-03  1.01575981e-07  2.50858513e-07  1.80001365e+00  5.00206630e-01 
 1.60870304e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999764e+00  1.79999914e+00  5.65182938e-03  3.47336967e-07  3.54039472e-07  1.79999041e+00  4.99826486e-01 
 2.21855759e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000207e+00  1.79999958e+00  5.64932649e-03  1.51498669e-07  2.88986876e-07  1.80000720e+00  5.00159488e-01 
 3.43826671e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999789e+00  1.79999919e+00  5.65198620e-03  3.31012253e-07  3.18179172e-07  1.79999285e+00  4.99846049e-01 
 4.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000185e+00  1.79999954e+00  5.64927990e-03  1.66641033e-07  2.68550902e-07  1.80000512e+00  5.00139018e-01 
 4.10000000e-07  0.00000000e+00  1.62000000e+00  0.00000000e+00  0.00000000e+00  1.80000010e+00  1.79999939e+00  5.65063159e-03  2.31621307e-07  2.82086388e-07  1.79999051e+00  5.00001511e-01 
 4.30000000e-07  0.00000000e+00  1.26000000e+00  0.00000000e+00  0.00000000e+00  1.79999980e+00  1.79999938e+00  5.65073163e-03  2.40475254e-07  2.76924707e-07  1.79998376e+00  4.99795098e-01 
 4.70000000e-07  0.00000000e+00  5.40000000e-01  0.00000000e+00  0.00000000e+00  1.79999999e+00  1.79999938e+00  5.65151669e-03  2.67017988e-07  3.06456907e-07  1.80072833e+00  4.99770331e-01 
 5.00000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999989e+00  1.79999938e+00  5.65146892e-03  2.09483889e-07  2.43249592e-07  1.80059352e+00  4.99641451e-01 
 5.04238897e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999990e+00  1.79999938e+00  5.65142145e-03  2.42755154e-07  2.76509897e-07  1.80059291e+00  4.99641780e-01 
 5.12716691e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999993e+00  1.79999938e+00  5.65141043e-03  2.43772525e-07  2.77525582e-07  1.80059197e+00  4.99642655e-01 
 5.29672278e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999994e+00  1.79999938e+00  5.65141415e-03  2.43145514e-07  2.75848361e-07  1.80059009e+00  4.99644388e-01 
 5.63583454e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999938e+00  5.65139685e-03  2.44664622e-07  2.75512058e-07  1.80058633e+00  4.99647856e-01 
 6.31405804e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65140560e-03  2.43287450e-07  2.69381704e-07  1.80057882e+00  4.99654791e-01 
 7.67050506e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999938e+00  5.65137719e-03  2.44840513e-07  2.64131487e-07  1.80056378e+00  4.99668656e-01 
 1.03833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65135838e-03  2.43593309e-07  2.53987259e-07  1.80053372e+00  4.99696366e-01 
 1.53833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999938e+00  5.65127257e-03  2.45354752e-07  2.49323260e-07  1.80047834e+00  4.99747368e-01 
 2.00000000e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65121680e-03  2.44146374e-07  2.46512362e-07  1.80042723e+00  4.99794383e-01 
 2.00010000e-06  1.80000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999937e+00  5.65125131e-03  3.86234631e-07  3.86596462e-07  1.80047168e+00  4.99838866e-01 
 2.00030000e-06  5.40000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000001e+00  1.79999936e+00  5.65139259e-03  5.17320413e-07  5.07224899e-07  1.80056014e+00  4.99927529e-01 
 2.00070000e-06  1.26000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79998485e+00  1.80000249e+00  5.60120614e-03 -2.43419293e-05  2.29890388e-05  1.76789662e+00  5.31805978e-01 
 2.00100000e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79994727e+00  1.80000886e+00  5.43996177e-03 -5.19877397e-05  5.54768980e-05  1.70347695e+00  5.96856002e-01 
 2.00104475e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79993920e+00  1.80001001e+00  5.40202392e-03 -5.41300312e-05  5.73625029e-05  1.69195278e+00  6.08407835e-01 
 2.00113426e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79992302e+00  1.80001208e+00  5.33054292e-03 -5.63743887e-05  5.94959114e-05  1.66977264e+00  6.30619528e-01 
 2.00131327e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79989236e+00  1.80001342e+00  5.23058265e-03 -5.50707688e-05  5.86656831e-05  1.63015647e+00  6.70285663e-01 
 2.00167129e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79984119e+00  1.80002311e+00  5.14064853e-03 -4.99201551e-05  5.03891567e-05  1.56586892e+00  7.34651960e-01 
 2.00238733e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79979874e+00  1.80005177e+00  5.05018330e-03 -4.33692543e-05  5.59232020e-05  1.47583305e+00  8.24812703e-01 
 2.00381940e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79975815e+00  1.79996453e+00  4.86980281e-03 -3.48941457e-05  5.81463310e-05  1.36930571e+00  9.31503054e-01 
 2.00610471e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79969462e+00  1.79994463e+00  4.48104832e-03 -1.21152355e-05  8.04287961e-06  1.27877657e+00  1.02215635e+00 
 2.00948644e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79992729e+00  1.79988633e+00  3.94091199e-03  2.03364846e-06  1.25773125e-05  1.21146343e+00  1.08954940e+00 
