 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999946e+00  4.46738973e-03  2.48494660e-07  2.48494675e-07  1.48729149e+00  9.00900225e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999947e+00  4.46743011e-03  2.53302504e-07  2.53271308e-07  1.48729590e+00  9.00904633e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999947e+00  4.46746857e-03  2.53781801e-07  2.53714115e-07  1.48730030e+00  9.00909038e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999948e+00  4.46755251e-03  2.54033553e-07  2.53892004e-07  1.48730910e+00  9.00917847e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999948e+00  4.46772145e-03  2.54156025e-07  2.53908327e-07  1.48732670e+00  9.00935466e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999948e+00  4.46805604e-03  2.54305615e-07  2.53963407e-07  1.48736190e+00  9.00970714e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999948e+00  4.46873063e-03  2.54269685e-07  2.53877431e-07  1.48743211e+00  9.01041189e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  1.80002600e+00  1.80002934e+00  5.58867621e-03  1.08915848e-05  7.39723291e-06  1.74739330e+00  8.80164428e-01 
 9.44866821e-08  0.00000000e+00  1.70076028e+00  0.00000000e+00  0.00000000e+00  1.79993667e+00  1.79997082e+00  5.67602172e-03 -2.07447983e-05 -2.05441879e-05  1.83293315e+00  5.37566324e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995255e+00  1.80001453e+00  5.66312489e-03  1.89757816e-06  3.67287116e-07  1.80188176e+00  4.93318858e-01 
 1.02025176e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995866e+00  1.80000498e+00  5.66795518e-03  9.53325071e-07 -1.47864530e-07  1.80113949e+00  4.97373803e-01 
 1.06075527e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79997135e+00  1.79999962e+00  5.66425116e-03  3.87003042e-08 -8.95072197e-07  1.80024064e+00  5.00562494e-01 
 1.14176231e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79998928e+00  1.80000093e+00  5.64930293e-03  3.61669406e-07  8.20723336e-08  1.79996823e+00  4.99713803e-01 
 1.30377637e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000161e+00  1.79999775e+00  5.64950099e-03  1.01480289e-07  2.50653574e-07  1.80001365e+00  5.00206632e-01 
 1.60870357e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999765e+00  1.80000099e+00  5.65047889e-03  3.47388712e-07  3.54144688e-07  1.79999041e+00  4.99826484e-01 
 2.21855796e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000206e+00  1.79999778e+00  5.64896922e-03  1.51470881e-07  2.88878515e-07  1.80000720e+00  5.00159489e-01 
 3.43826673e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999790e+00  1.80000096e+00  5.65064162e-03  3.31036755e-07  3.18256967e-07  1.79999285e+00  4.99846048e-01 
 4.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000184e+00  1.79999783e+00  5.64891586e-03  1.66638571e-07  2.68480088e-07  1.80000512e+00  5.00139019e-01 
 4.10000000e-07  0.00000000e+00  1.62000000e+00  0.00000000e+00  0.00000000e+00  1.80000009e+00  1.79999931e+00  5.64978664e-03  2.31606461e-07  2.82057355e-07  1.79999051e+00  5.00001511e-01 
 4.30000000e-07  0.00000000e+00  1.26000000e+00  0.00000000e+00  0.00000000e+00  1.79999980e+00  1.79999945e+00  5.64987133e-03  2.40488430e-07  2.76933355e-07  1.79998376e+00  4.99795097e-01 
 4.70000000e-07  0.00000000e+00  5.40000000e-01  0.00000000e+00  0.00000000e+00  1.79999999e+00  1.79999931e+00  5.65068766e-03  2.67012855e-07  3.06440898e-07  1.80072833e+00  4.99770331e-01 
