 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999956e+00  3.14232589e-03  2.48494660e-07  2.48494675e-07  1.48728570e+00  9.00900272e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999956e+00  3.14233309e-03  2.53295809e-07  2.53273635e-07  1.48729010e+00  9.00904680e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999956e+00  3.14234227e-03  2.53772721e-07  2.53713459e-07  1.48729450e+00  9.00909084e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999956e+00  3.14236066e-03  2.54024811e-07  2.53889953e-07  1.48730330e+00  9.00917893e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999956e+00  3.14239557e-03  2.54154607e-07  2.53910568e-07  1.48732090e+00  9.00935513e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999956e+00  3.14246513e-03  2.54305346e-07  2.53963915e-07  1.48735609e+00  9.00970761e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999956e+00  3.14260647e-03  2.54268156e-07  2.53877565e-07  1.48742629e+00  9.01041236e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  1.80002599e+00  1.80006415e+00  5.18879840e-03  1.08823985e-05  7.39209994e-06  1.74738124e+00  8.80164498e-01 
 9.44866879e-08  0.00000000e+00  1.70076038e+00  0.00000000e+00  0.00000000e+00  1.79993680e+00  1.79994539e+00  5.60202158e-03 -2.07260372e-05 -2.05325372e-05  1.83293923e+00  5.37566306e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995254e+00  1.80002041e+00  5.49307611e-03  1.88927131e-06  3.61796843e-07  1.80188309e+00  4.93318869e-01 
 1.02025174e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995865e+00  1.80000528e+00  5.50867886e-03  9.48062985e-07 -1.52139778e-07  1.80114017e+00  4.97373807e-01 
 1.06075522e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79997135e+00  1.79999853e+00  5.50542046e-03  3.78912398e-08 -8.94948343e-07  1.80024080e+00  5.00562492e-01 
 1.14176219e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79998928e+00  1.80000178e+00  5.48834153e-03  3.61903008e-07  8.20671361e-08  1.79996821e+00  4.99713804e-01 
 1.30377612e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000159e+00  1.79999704e+00  5.49066923e-03  1.01279877e-07  2.50224117e-07  1.80001365e+00  5.00206631e-01 
 1.60870333e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999767e+00  1.80000171e+00  5.48955907e-03  3.47552764e-07  3.54449695e-07  1.79999041e+00  4.99826485e-01 
 2.21855775e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000204e+00  1.79999713e+00  5.49012386e-03  1.51313867e-07  2.88544441e-07  1.80000720e+00  5.00159489e-01 
 3.43826659e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999792e+00  1.80000165e+00  5.48973161e-03  3.31190763e-07  3.18555157e-07  1.79999285e+00  4.99846048e-01 
 4.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000182e+00  1.79999721e+00  5.49005467e-03  1.66492056e-07  2.68171174e-07  1.80000511e+00  5.00139019e-01 
 4.10000000e-07  0.00000000e+00  1.62000000e+00  0.00000000e+00  0.00000000e+00  1.80000009e+00  1.79999931e+00  5.48989778e-03  2.31598588e-07  2.82030224e-07  1.79999051e+00  5.00001511e-01 
 4.30000000e-07  0.00000000e+00  1.26000000e+00  0.00000000e+00  0.00000000e+00  1.79999980e+00  1.79999949e+00  5.48993320e-03  2.40496863e-07  2.76939597e-07  1.79998376e+00  4.99795097e-01 
 4.70000000e-07  0.00000000e+00  5.40000000e-01  0.00000000e+00  0.00000000e+00  1.79999999e+00  1.79999937e+00  5.49258644e-03  2.67002823e-07  3.06416375e-07  1.80072830e+00  4.99770331e-01 
 5.00000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999989e+00  1.79999942e+00  5.49220380e-03  2.09501981e-07  2.43259295e-07  1.80059349e+00  4.99641450e-01 
 5.04238897e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999990e+00  1.79999940e+00  5.49215659e-03  2.42763811e-07  2.76504241e-07  1.80059288e+00  4.99641779e-01 
 5.12716691e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999993e+00  1.79999940e+00  5.49214170e-03  2.43770947e-07  2.77507347e-07  1.80059194e+00  4.99642655e-01 
 5.29672279e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999994e+00  1.79999940e+00  5.49214031e-03  2.43150450e-07  2.75839241e-07  1.80059006e+00  4.99644388e-01 
 5.63583454e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999940e+00  5.49211489e-03  2.44665810e-07  2.75499273e-07  1.80058630e+00  4.99647856e-01 
 6.31405806e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999940e+00  5.49210356e-03  2.43290945e-07  2.69374157e-07  1.80057879e+00  4.99654791e-01 
 7.67050508e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999940e+00  5.49203938e-03  2.44842102e-07  2.64124312e-07  1.80056375e+00  4.99668655e-01 
 1.03833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999940e+00  5.49194482e-03  2.43596145e-07  2.53986709e-07  1.80053369e+00  4.99696365e-01 
 1.53833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999940e+00  5.49172419e-03  2.45355796e-07  2.49323070e-07  1.80047831e+00  4.99747367e-01 
 2.00000000e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999940e+00  5.49154125e-03  2.44148394e-07  2.46514555e-07  1.80042721e+00  4.99794382e-01 
 2.00010000e-06  1.80000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999944e+00  5.49159980e-03  3.86233463e-07  3.86597056e-07  1.80047166e+00  4.99838864e-01 
 2.00030000e-06  5.40000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000001e+00  1.79999960e+00  5.49184545e-03  5.17314742e-07  5.07223083e-07  1.80056012e+00  4.99927528e-01 
 2.00070000e-06  1.26000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79998454e+00  1.79993727e+00  5.39995941e-03 -2.43396066e-05  2.29910139e-05  1.76789826e+00  5.31806072e-01 
 2.00100000e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79994594e+00  1.79968074e+00  5.08120845e-03 -5.19776414e-05  5.54894779e-05  1.70348535e+00  5.96856527e-01 
 2.00104475e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79993761e+00  1.79960793e+00  4.99910750e-03 -5.41180450e-05  5.73784180e-05  1.69196309e+00  6.08408485e-01 
 2.00113426e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79992089e+00  1.79944914e+00  4.82594875e-03 -5.63584413e-05  5.95200130e-05  1.66978731e+00  6.30620478e-01 
 2.00131327e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79988925e+00  1.79917284e+00  4.45695462e-03 -5.50488222e-05  5.87147200e-05  1.63018154e+00  6.70287528e-01 
 2.00167129e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79983822e+00  1.79915473e+00  3.81212022e-03 -4.98964615e-05  5.05094044e-05  1.56591462e+00  7.34656781e-01 
