 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999942e+00  4.82902603e-03  2.48494660e-07  2.48494675e-07  1.48731002e+00  9.00900253e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999943e+00  4.82905563e-03  2.53299076e-07  2.53270989e-07  1.48731442e+00  9.00904660e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999943e+00  4.82908770e-03  2.53779452e-07  2.53714132e-07  1.48731882e+00  9.00909065e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999944e+00  4.82915074e-03  2.54034829e-07  2.53894256e-07  1.48732762e+00  9.00917874e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999943e+00  4.82927208e-03  2.54159381e-07  2.53911317e-07  1.48734522e+00  9.00935493e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999943e+00  4.82951450e-03  2.54304859e-07  2.53962627e-07  1.48738043e+00  9.00970741e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999943e+00  4.83000221e-03  2.54269963e-07  2.53878400e-07  1.48745064e+00  9.01041217e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  1.80002596e+00  1.80001392e+00  5.59751307e-03  1.08914051e-05  7.39793231e-06  1.74739808e+00  8.80164443e-01 
 9.44866951e-08  0.00000000e+00  1.70076051e+00  0.00000000e+00  0.00000000e+00  1.79993670e+00  1.79998529e+00  5.67045758e-03 -2.07463420e-05 -2.05456350e-05  1.83293034e+00  5.37566286e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995250e+00  1.80000490e+00  5.66840698e-03  1.89787632e-06  3.67190147e-07  1.80188159e+00  4.93318885e-01 
 1.02025172e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995866e+00  1.80000278e+00  5.66896063e-03  9.53940463e-07 -1.47671015e-07  1.80113941e+00  4.97373811e-01 
 1.06075516e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79997135e+00  1.80000104e+00  5.66466124e-03  3.90559646e-08 -8.94922124e-07  1.80024062e+00  5.00562490e-01 
 1.14176205e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79998927e+00  1.79999980e+00  5.65029551e-03  3.61539305e-07  8.19759456e-08  1.79996823e+00  4.99713805e-01 
 1.30377582e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000162e+00  1.79999875e+00  5.64990298e-03  1.01553374e-07  2.50765662e-07  1.80001365e+00  5.00206630e-01 
 1.60870312e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999765e+00  1.80000005e+00  5.65146319e-03  3.47348641e-07  3.54093503e-07  1.79999041e+00  4.99826486e-01 
 2.21855772e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000207e+00  1.79999870e+00  5.64937783e-03  1.51509861e-07  2.88942064e-07  1.80000720e+00  5.00159488e-01 
 3.43826693e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999789e+00  1.80000006e+00  5.65162215e-03  3.31009301e-07  3.18219718e-07  1.79999285e+00  4.99846049e-01 
 4.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000185e+00  1.79999870e+00  5.64932860e-03  1.66664546e-07  2.68523293e-07  1.80000512e+00  5.00139018e-01 
 4.10000000e-07  0.00000000e+00  1.62000000e+00  0.00000000e+00  0.00000000e+00  1.80000010e+00  1.79999935e+00  5.65047759e-03  2.31618517e-07  2.82077597e-07  1.79999051e+00  5.00001511e-01 
 4.30000000e-07  0.00000000e+00  1.26000000e+00  0.00000000e+00  0.00000000e+00  1.79999980e+00  1.79999941e+00  5.65057147e-03  2.40486616e-07  2.76933860e-07  1.79998376e+00  4.99795098e-01 
 4.70000000e-07  0.00000000e+00  5.40000000e-01  0.00000000e+00  0.00000000e+00  1.79999999e+00  1.79999934e+00  5.65136720e-03  2.67020298e-07  3.06454387e-07  1.80072833e+00  4.99770331e-01 
 5.00000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999989e+00  1.79999941e+00  5.65131063e-03  2.09491527e-07  2.43255487e-07  1.80059351e+00  4.99641451e-01 
 5.04238897e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999990e+00  1.79999938e+00  5.65126715e-03  2.42762333e-07  2.76514440e-07  1.80059291e+00  4.99641780e-01 
 5.12716691e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999993e+00  1.79999937e+00  5.65125655e-03  2.43777613e-07  2.77527620e-07  1.80059197e+00  4.99642655e-01 
 5.29672278e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999994e+00  1.79999938e+00  5.65125983e-03  2.43151180e-07  2.75851141e-07  1.80059009e+00  4.99644388e-01 
 5.63583454e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999937e+00  5.65124290e-03  2.44670116e-07  2.75514814e-07  1.80058633e+00  4.99647856e-01 
 6.31405804e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65125127e-03  2.43292606e-07  2.69384547e-07  1.80057881e+00  4.99654791e-01 
 7.67050506e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999937e+00  5.65122317e-03  2.44845795e-07  2.64135132e-07  1.80056378e+00  4.99668656e-01 
 1.03833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65120395e-03  2.43597543e-07  2.53990951e-07  1.80053372e+00  4.99696366e-01 
 1.53833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999937e+00  5.65111819e-03  2.45358574e-07  2.49327008e-07  1.80047834e+00  4.99747368e-01 
