 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15752371e-03  2.48494660e-07  2.48494675e-07  1.48726534e+00  9.00900193e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15753563e-03  2.53300340e-07  2.53270910e-07  1.48726974e+00  9.00904601e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15754551e-03  2.53781897e-07  2.53714800e-07  1.48727414e+00  9.00909006e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15756256e-03  2.54039015e-07  2.53896145e-07  1.48728294e+00  9.00917815e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15759055e-03  2.54164485e-07  2.53912669e-07  1.48730055e+00  9.00935434e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15764617e-03  2.54307322e-07  2.53962055e-07  1.48733576e+00  9.00970682e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15776127e-03  2.54270881e-07  2.53877709e-07  1.48740598e+00  9.01041157e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  1.80002595e+00  1.79999931e+00  5.60272031e-03  1.08950655e-05  7.39895596e-06  1.74739163e+00  8.80164396e-01 
 9.44866925e-08  0.00000000e+00  1.70076046e+00  0.00000000e+00  0.00000000e+00  1.79993670e+00  1.79999895e+00  5.66626159e-03 -2.07503426e-05 -2.05473800e-05  1.83293418e+00  5.37566291e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995247e+00  1.79999603e+00  5.67198522e-03  1.89910701e-06  3.67817097e-07  1.80188176e+00  4.93318880e-01 
 1.02025173e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995866e+00  1.80000057e+00  5.66932300e-03  9.54500612e-07 -1.46966750e-07  1.80113952e+00  4.97373809e-01 
 1.06075519e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79997136e+00  1.80000246e+00  5.66462780e-03  3.93282583e-08 -8.94598665e-07  1.80024065e+00  5.00562490e-01 
 1.14176211e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79998927e+00  1.79999869e+00  5.65065678e-03  3.61451928e-07  8.18774652e-08  1.79996823e+00  4.99713805e-01 
 1.30377595e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000162e+00  1.79999974e+00  5.64985611e-03  1.01583441e-07  2.50859736e-07  1.80001365e+00  5.00206631e-01 
 1.60870326e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999764e+00  1.79999913e+00  5.65182157e-03  3.47334045e-07  3.54047642e-07  1.79999041e+00  4.99826486e-01 
 2.21855787e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000207e+00  1.79999959e+00  5.64933431e-03  1.51504790e-07  2.88987386e-07  1.80000720e+00  5.00159488e-01 
 3.43826709e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999789e+00  1.79999918e+00  5.65197837e-03  3.31009594e-07  3.18185941e-07  1.79999285e+00  4.99846049e-01 
