 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15768044e-03  2.48494660e-07  2.48494675e-07  1.48725999e+00  9.00900246e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15769228e-03  2.53300263e-07  2.53276445e-07  1.48726439e+00  9.00904654e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15770212e-03  2.53781459e-07  2.53718498e-07  1.48726879e+00  9.00909058e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15771913e-03  2.54038181e-07  2.53897202e-07  1.48727759e+00  9.00917867e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15774705e-03  2.54163371e-07  2.53912504e-07  1.48729520e+00  9.00935486e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15780256e-03  2.54306428e-07  2.53962294e-07  1.48733041e+00  9.00970734e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15791731e-03  2.54271128e-07  2.53878226e-07  1.48740063e+00  9.01041210e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  1.80002595e+00  1.79999931e+00  5.60256465e-03  1.08947953e-05  7.39941897e-06  1.74739071e+00  8.80164435e-01 
 9.44867079e-08  0.00000000e+00  1.70076074e+00  0.00000000e+00  0.00000000e+00  1.79993671e+00  1.79999895e+00  5.66640395e-03 -2.07501234e-05 -2.05476101e-05  1.83293474e+00  5.37566247e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995247e+00  1.79999607e+00  5.67188500e-03  1.89891898e-06  3.67597925e-07  1.80188184e+00  4.93318911e-01 
