 time            v(sh)           v(pre)          v(rst)          v(sen)          v(d)            v(CompOut)      v(AOut)         v(STO+_RCL-)    v(sto-_rcl+)    v(c+)           v(c-)          
 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15699955e-03  2.48494660e-07  2.48494675e-07  1.48725763e+00  9.00900110e-01 
 1.00000000e-09  0.00000000e+00  1.80000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15701155e-03  2.53300194e-07  2.53274954e-07  1.48726204e+00  9.00904518e-01 
 2.00000000e-09  0.00000000e+00  3.60000000e-02  0.00000000e+00  0.00000000e+00  1.79999997e+00  1.79999938e+00  5.15702149e-03  2.53781768e-07  2.53717652e-07  1.48726644e+00  9.00908923e-01 
 4.00000000e-09  0.00000000e+00  7.20000000e-02  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15703867e-03  2.54038617e-07  2.53896760e-07  1.48727524e+00  9.00917732e-01 
 8.00000000e-09  0.00000000e+00  1.44000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15706697e-03  2.54164373e-07  2.53912758e-07  1.48729285e+00  9.00935351e-01 
 1.60000000e-08  0.00000000e+00  2.88000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15712298e-03  2.54306492e-07  2.53961717e-07  1.48732805e+00  9.00970599e-01 
 3.20000000e-08  0.00000000e+00  5.76000000e-01  0.00000000e+00  0.00000000e+00  1.79999998e+00  1.79999938e+00  5.15723880e-03  2.54270927e-07  2.53877849e-07  1.48739828e+00  9.01041074e-01 
 6.40000000e-08  0.00000000e+00  1.15200000e+00  0.00000000e+00  0.00000000e+00  1.80002595e+00  1.79999933e+00  5.60278610e-03  1.08952689e-05  7.39922332e-06  1.74739030e+00  8.80164335e-01 
 9.44866985e-08  0.00000000e+00  1.70076057e+00  0.00000000e+00  0.00000000e+00  1.79993670e+00  1.79999894e+00  5.66619504e-03 -2.07504656e-05 -2.05475259e-05  1.83293498e+00  5.37566269e-01 
 1.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995247e+00  1.79999601e+00  5.67202514e-03  1.89907439e-06  3.67775409e-07  1.80188182e+00  4.93318893e-01 
 1.02025172e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79995866e+00  1.80000058e+00  5.66932364e-03  9.54497731e-07 -1.46984274e-07  1.80113956e+00  4.97373813e-01 
 1.06075515e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79997136e+00  1.80000245e+00  5.66461938e-03  3.93310339e-08 -8.94598230e-07  1.80024065e+00  5.00562489e-01 
 1.14176201e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79998927e+00  1.79999869e+00  5.65065680e-03  3.61449747e-07  8.18779509e-08  1.79996822e+00  4.99713806e-01 
 1.30377574e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000162e+00  1.79999974e+00  5.64984803e-03  1.01585156e-07  2.50862520e-07  1.80001365e+00  5.00206630e-01 
 1.60870313e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999764e+00  1.79999913e+00  5.65182134e-03  3.47332582e-07  3.54048470e-07  1.79999041e+00  4.99826486e-01 
 2.21855791e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000207e+00  1.79999959e+00  5.64932644e-03  1.51506008e-07  2.88989624e-07  1.80000720e+00  5.00159487e-01 
 3.43826746e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.79999789e+00  1.79999918e+00  5.65197802e-03  3.31008581e-07  3.18186470e-07  1.79999285e+00  4.99846049e-01 
 4.00000000e-07  0.00000000e+00  1.80000000e+00  0.00000000e+00  0.00000000e+00  1.80000185e+00  1.79999955e+00  5.64927984e-03  1.66647715e-07  2.68552061e-07  1.80000512e+00  5.00139018e-01 
 4.10000000e-07  0.00000000e+00  1.62000000e+00  0.00000000e+00  0.00000000e+00  1.80000010e+00  1.79999940e+00  5.65062753e-03  2.31623017e-07  2.82090484e-07  1.79999051e+00  5.00001511e-01 
 4.30000000e-07  0.00000000e+00  1.26000000e+00  0.00000000e+00  0.00000000e+00  1.79999980e+00  1.79999938e+00  5.65072750e-03  2.40477034e-07  2.76928715e-07  1.79998376e+00  4.99795098e-01 
 4.70000000e-07  0.00000000e+00  5.40000000e-01  0.00000000e+00  0.00000000e+00  1.79999999e+00  1.79999938e+00  5.65151252e-03  2.67019314e-07  3.06460483e-07  1.80072833e+00  4.99770331e-01 
 5.00000000e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999989e+00  1.79999938e+00  5.65146474e-03  2.09485272e-07  2.43253015e-07  1.80059351e+00  4.99641451e-01 
 5.04238897e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999990e+00  1.79999938e+00  5.65141734e-03  2.42756685e-07  2.76513445e-07  1.80059291e+00  4.99641780e-01 
 5.12716691e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999993e+00  1.79999938e+00  5.65140633e-03  2.43773725e-07  2.77529057e-07  1.80059197e+00  4.99642655e-01 
 5.29672278e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999994e+00  1.79999938e+00  5.65140997e-03  2.43147116e-07  2.75851983e-07  1.80059009e+00  4.99644388e-01 
 5.63583454e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999938e+00  5.65139268e-03  2.44666272e-07  2.75515299e-07  1.80058633e+00  4.99647856e-01 
 6.31405804e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65140159e-03  2.43288808e-07  2.69384354e-07  1.80057881e+00  4.99654791e-01 
 7.67050506e-07  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999938e+00  5.65137313e-03  2.44842125e-07  2.64134119e-07  1.80056378e+00  4.99668656e-01 
 1.03833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65135428e-03  2.43594500e-07  2.53989058e-07  1.80053372e+00  4.99696366e-01 
 1.53833991e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999938e+00  5.65126858e-03  2.45356026e-07  2.49324693e-07  1.80047834e+00  4.99747369e-01 
 2.00000000e-06  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999995e+00  1.79999938e+00  5.65121280e-03  2.44146895e-07  2.46513062e-07  1.80042723e+00  4.99794384e-01 
 2.00010000e-06  1.80000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79999996e+00  1.79999937e+00  5.65124720e-03  3.86235053e-07  3.86596871e-07  1.80047168e+00  4.99838866e-01 
 2.00030000e-06  5.40000000e-01  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.80000001e+00  1.79999936e+00  5.65138819e-03  5.17321193e-07  5.07225331e-07  1.80056014e+00  4.99927530e-01 
 2.00070000e-06  1.26000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79998485e+00  1.80000236e+00  5.60129836e-03 -2.43420191e-05  2.29891211e-05  1.76789662e+00  5.31805978e-01 
 2.00100000e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79994727e+00  1.80000844e+00  5.44033402e-03 -5.19881144e-05  5.54773177e-05  1.70347694e+00  5.96856001e-01 
 2.00104475e-06  1.80000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.79993920e+00  1.80000953e+00  5.40246421e-03 -5.41304783e-05  5.73630240e-05  1.69195276e+00  6.08407834e-01 
